"","p_bic","q_bic","BIC","ID_bic","p_aic","q_aic","AIC","ID_aic"
"94","2","0","156.66","(2,0)","1","2","150.58","(1,2)"
"95","1","0","154.52","(1,0)","1","1","150.38","(1,1)"
"96","2","0","145.95","(2,0)","2","0","140.28","(2,0)"
"97","2","0","144.82","(2,0)","1","2","138.55","(1,2)"
"98","1","0","162.6","(1,0)","2","0","157.68","(2,0)"
"99","0","0","168.34","(0,0)","1","2","161.57","(1,2)"
"100","1","1","149.51","(1,1)","1","1","143.84","(1,1)"
"101","2","0","150.29","(2,0)","1","2","143.8","(1,2)"
"102","1","1","172.41","(1,1)","1","1","166.74","(1,1)"
"103","2","0","145.74","(2,0)","2","0","140.07","(2,0)"
"104","2","0","150.7","(2,0)","2","0","145.02","(2,0)"
"105","2","0","136.61","(2,0)","2","0","130.94","(2,0)"
"106","1","1","145.69","(1,1)","1","1","140.02","(1,1)"
"107","2","0","157.81","(2,0)","2","0","152.13","(2,0)"
"108","0","0","133.42","(0,0)","0","0","131.53","(0,0)"
"109","1","1","151.4","(1,1)","1","1","145.73","(1,1)"
"110","2","0","141.48","(2,0)","2","0","135.81","(2,0)"
"111","2","0","139.97","(2,0)","2","0","134.3","(2,0)"
"112","1","0","146.48","(1,0)","1","0","142.69","(1,0)"
"113","1","0","140.49","(1,0)","1","1","135.36","(1,1)"
"114","2","0","145.61","(2,0)","2","0","139.93","(2,0)"
"115","1","1","156.42","(1,1)","1","1","150.74","(1,1)"
"116","2","0","143.74","(2,0)","1","2","137.65","(1,2)"
"117","2","0","157.3","(2,0)","2","0","151.63","(2,0)"
"118","1","0","120.98","(1,0)","1","0","117.2","(1,0)"
"119","1","0","142.42","(1,0)","1","0","138.63","(1,0)"
"120","1","0","148.29","(1,0)","0","2","143.35","(0,2)"
"121","1","1","154.98","(1,1)","1","1","149.3","(1,1)"
"122","2","0","138.36","(2,0)","2","0","132.69","(2,0)"
"123","1","1","144.43","(1,1)","1","1","138.75","(1,1)"
"124","2","0","137.36","(2,0)","2","0","131.68","(2,0)"
"125","1","1","169.18","(1,1)","1","1","163.51","(1,1)"
"126","0","0","143.67","(0,0)","0","0","141.78","(0,0)"
"127","2","0","148.93","(2,0)","2","0","143.25","(2,0)"
"128","2","0","155.97","(2,0)","2","1","149.26","(2,1)"
"129","2","0","150.17","(2,0)","2","0","144.49","(2,0)"
"130","1","1","166.07","(1,1)","1","1","160.39","(1,1)"
"131","2","0","129.82","(2,0)","2","0","124.14","(2,0)"
"132","1","1","156.83","(1,1)","1","1","151.16","(1,1)"
"133","2","0","144.19","(2,0)","2","2","138.29","(2,2)"
"134","2","0","148.75","(2,0)","2","0","143.08","(2,0)"
"135","1","1","153.13","(1,1)","1","1","147.46","(1,1)"
"136","1","0","133.83","(1,0)","1","1","129.03","(1,1)"
"137","2","0","157.9","(2,0)","1","2","151.08","(1,2)"
"138","2","0","142.14","(2,0)","2","0","136.47","(2,0)"
"139","1","1","153.09","(1,1)","1","1","147.41","(1,1)"
"140","1","1","151.27","(1,1)","1","1","145.6","(1,1)"
"141","1","0","145.7","(1,0)","2","0","140.65","(2,0)"
"142","1","0","149.89","(1,0)","1","0","146.1","(1,0)"
"143","1","1","152.41","(1,1)","1","1","146.73","(1,1)"
"144","1","0","152.44","(1,0)","1","1","147.22","(1,1)"
"145","2","0","153.13","(2,0)","2","0","147.46","(2,0)"
"146","1","1","154.91","(1,1)","2","1","148.16","(2,1)"
"147","1","1","150.97","(1,1)","2","2","143.11","(2,2)"
"148","1","1","138.48","(1,1)","1","1","132.8","(1,1)"
"149","1","1","149.39","(1,1)","1","1","143.72","(1,1)"
"150","1","1","151.5","(1,1)","1","1","145.83","(1,1)"
"151","1","1","165.45","(1,1)","2","2","159.43","(2,2)"
"152","1","0","138.01","(1,0)","2","0","133.5","(2,0)"
"153","2","0","151.67","(2,0)","2","0","146","(2,0)"
"154","2","0","155.59","(2,0)","2","0","149.91","(2,0)"
"155","1","0","143.23","(1,0)","1","0","139.45","(1,0)"
"156","1","1","151.31","(1,1)","1","1","145.64","(1,1)"
"157","2","0","141.37","(2,0)","2","0","135.69","(2,0)"
"158","2","0","153.05","(2,0)","2","2","143.86","(2,2)"
"159","1","2","142.27","(1,2)","1","2","134.7","(1,2)"
"160","1","0","142.37","(1,0)","1","0","138.58","(1,0)"
"161","2","2","134.89","(2,2)","2","2","125.43","(2,2)"
