"","p_bic","q_bic","BIC","ID_bic","p_aic","q_aic","AIC","ID_aic"
"363","2","0","149.8","(2,0)","1","2","141.64","(1,2)"
"364","2","2","149.4","(2,2)","2","2","137.93","(2,2)"
"365","1","1","162.65","(1,1)","1","2","154.01","(1,2)"
"366","1","1","145.3","(1,1)","1","2","136.6","(1,2)"
"367","1","2","178.74","(1,2)","2","2","168.13","(2,2)"
"368","2","1","166.03","(2,1)","2","1","156.47","(2,1)"
"369","2","0","148.74","(2,0)","2","0","141.09","(2,0)"
"370","2","0","175.42","(2,0)","1","2","166.98","(1,2)"
"371","2","0","171.22","(2,0)","2","2","159.96","(2,2)"
"372","2","0","155.64","(2,0)","2","0","147.99","(2,0)"
"373","1","2","170.41","(1,2)","1","2","160.85","(1,2)"
"374","1","1","147.88","(1,1)","1","2","139.4","(1,2)"
"375","2","0","160.43","(2,0)","1","2","151.51","(1,2)"
"376","1","2","161.37","(1,2)","1","2","151.81","(1,2)"
"377","1","2","166.87","(1,2)","1","2","157.31","(1,2)"
"378","2","0","152.26","(2,0)","1","2","143.08","(1,2)"
"379","2","0","143.22","(2,0)","2","0","135.58","(2,0)"
"380","1","2","154.35","(1,2)","1","2","144.79","(1,2)"
"381","1","1","147.7","(1,1)","1","1","140.06","(1,1)"
"382","2","0","153.07","(2,0)","2","2","143.82","(2,2)"
"383","2","0","155.6","(2,0)","1","2","146.45","(1,2)"
"384","2","0","170.86","(2,0)","2","1","162.06","(2,1)"
"385","2","1","164.9","(2,1)","2","1","155.34","(2,1)"
"386","2","0","149.49","(2,0)","2","0","141.85","(2,0)"
"387","1","1","182.5","(1,1)","1","2","174.79","(1,2)"
"388","2","0","160.23","(2,0)","2","0","152.58","(2,0)"
"389","2","0","149.68","(2,0)","2","0","142.04","(2,0)"
"390","2","0","161.57","(2,0)","2","0","153.92","(2,0)"
"391","1","2","168.33","(1,2)","1","2","158.77","(1,2)"
"392","2","0","144.51","(2,0)","2","0","136.86","(2,0)"
"393","2","0","162.84","(2,0)","1","2","153.5","(1,2)"
"394","1","2","158.25","(1,2)","1","2","148.69","(1,2)"
"395","2","1","144.92","(2,1)","2","1","135.36","(2,1)"
"396","2","0","159.7","(2,0)","2","0","152.05","(2,0)"
"397","1","2","154.78","(1,2)","1","2","145.22","(1,2)"
"398","2","0","150","(2,0)","2","1","142.14","(2,1)"
"399","1","2","160.78","(1,2)","1","2","151.22","(1,2)"
"400","2","0","151.58","(2,0)","2","0","143.94","(2,0)"
"401","1","1","156.97","(1,1)","1","1","149.32","(1,1)"
"402","2","0","151.11","(2,0)","2","2","142.64","(2,2)"
"403","2","0","180.45","(2,0)","2","0","172.8","(2,0)"
"404","2","0","161.3","(2,0)","2","0","153.65","(2,0)"
"405","2","0","151.22","(2,0)","2","0","143.57","(2,0)"
"406","1","2","165.58","(1,2)","1","2","156.02","(1,2)"
"407","2","0","164.64","(2,0)","1","2","155.35","(1,2)"
"408","2","1","141.18","(2,1)","2","1","131.62","(2,1)"
"409","1","1","145.52","(1,1)","2","1","136.85","(2,1)"
"410","1","1","162.21","(1,1)","1","1","154.57","(1,1)"
"411","2","0","147.07","(2,0)","2","0","139.42","(2,0)"
"412","1","2","157.55","(1,2)","1","2","147.99","(1,2)"
