"","p_bic","q_bic","BIC","ID_bic","p_aic","q_aic","AIC","ID_aic"
"627","2","2","619.33","(2,2)","2","2","602.86","(2,2)"
"628","2","0","580.28","(2,0)","2","0","570.4","(2,0)"
"629","2","0","594.9","(2,0)","2","1","582.91","(2,1)"
"630","2","2","617.42","(2,2)","2","2","600.95","(2,2)"
"631","1","1","586.72","(1,1)","2","1","575.33","(2,1)"
"632","2","0","593.56","(2,0)","1","2","583.21","(1,2)"
"633","1","2","570.85","(1,2)","1","2","557.68","(1,2)"
"634","2","0","570.72","(2,0)","2","1","559.21","(2,1)"
"635","2","0","556.59","(2,0)","2","0","546.71","(2,0)"
"636","2","0","613.43","(2,0)","2","2","597.45","(2,2)"
"637","2","0","584.36","(2,0)","2","1","573.2","(2,1)"
"638","1","2","589.02","(1,2)","1","2","575.85","(1,2)"
"639","2","0","596.8","(2,0)","2","2","582.75","(2,2)"
"640","1","2","554.94","(1,2)","2","2","539.47","(2,2)"
"641","2","0","607.24","(2,0)","2","0","597.36","(2,0)"
"642","2","0","568.54","(2,0)","2","1","557.63","(2,1)"
"643","2","0","558.61","(2,0)","2","0","548.73","(2,0)"
"644","2","0","586.24","(2,0)","2","2","575.19","(2,2)"
"645","2","0","608.96","(2,0)","2","0","599.08","(2,0)"
"646","2","0","578.82","(2,0)","2","0","568.94","(2,0)"
"647","1","2","609.04","(1,2)","1","2","595.87","(1,2)"
"648","2","2","587.39","(2,2)","2","2","570.92","(2,2)"
"649","1","2","579.71","(1,2)","1","2","566.54","(1,2)"
"650","2","2","523.65","(2,2)","2","2","507.18","(2,2)"
"651","1","1","571.6","(1,1)","2","2","559.64","(2,2)"
"652","2","0","578.12","(2,0)","2","2","568.05","(2,2)"
"653","2","1","586.37","(2,1)","2","2","570.54","(2,2)"
"654","2","0","587.9","(2,0)","2","0","578.02","(2,0)"
"655","2","2","596.73","(2,2)","2","2","580.26","(2,2)"
"656","1","2","580.77","(1,2)","1","2","567.6","(1,2)"
"657","2","0","568.18","(2,0)","2","1","555.44","(2,1)"
"658","1","2","583.52","(1,2)","1","2","570.35","(1,2)"
"659","1","2","596.5","(1,2)","2","2","580.93","(2,2)"
"660","1","1","573.05","(1,1)","2","2","560.96","(2,2)"
"661","2","0","577.57","(2,0)","2","2","565.69","(2,2)"
"662","2","0","585.03","(2,0)","2","1","574.95","(2,1)"
"663","2","2","570.34","(2,2)","2","2","553.87","(2,2)"
"664","2","0","586.65","(2,0)","2","0","576.77","(2,0)"
"665","2","0","554.59","(2,0)","2","0","544.71","(2,0)"
"666","2","0","549.65","(2,0)","1","2","539.18","(1,2)"
"667","2","0","594.55","(2,0)","2","0","584.67","(2,0)"
"668","1","2","604.9","(1,2)","1","2","591.73","(1,2)"
"669","1","2","608.69","(1,2)","1","2","595.52","(1,2)"
"670","1","2","583.44","(1,2)","1","2","570.27","(1,2)"
"671","1","1","548.22","(1,1)","1","1","538.34","(1,1)"
"672","2","0","566.6","(2,0)","2","0","556.72","(2,0)"
"673","2","1","584.04","(2,1)","2","1","570.87","(2,1)"
"674","1","2","536.36","(1,2)","1","2","523.19","(1,2)"
"675","1","1","576.31","(1,1)","2","2","563.32","(2,2)"
"676","2","2","558.95","(2,2)","2","2","542.48","(2,2)"
"677","2","1","595.39","(2,1)","2","2","580.92","(2,2)"
"678","1","2","579.92","(1,2)","1","2","566.75","(1,2)"
"679","2","0","597.03","(2,0)","2","2","581.73","(2,2)"
"680","2","2","620.75","(2,2)","2","2","604.28","(2,2)"
"681","1","1","603.24","(1,1)","1","2","591.11","(1,2)"
"682","2","0","576.08","(2,0)","2","0","566.2","(2,0)"
"683","1","2","563.82","(1,2)","1","2","550.65","(1,2)"
"684","2","0","584.87","(2,0)","1","2","573.72","(1,2)"
"685","1","2","579.89","(1,2)","1","2","566.72","(1,2)"
"686","2","1","600.83","(2,1)","2","1","587.65","(2,1)"
"687","1","2","584.01","(1,2)","1","2","570.83","(1,2)"
"688","1","2","575.95","(1,2)","1","2","562.78","(1,2)"
"689","2","2","598.43","(2,2)","2","2","581.96","(2,2)"
"690","2","0","527.65","(2,0)","1","2","517.12","(1,2)"
"691","2","2","615.12","(2,2)","2","2","598.65","(2,2)"
"692","2","1","563.92","(2,1)","2","2","547.9","(2,2)"
"693","2","0","578.58","(2,0)","2","2","568.4","(2,2)"
"694","2","2","605.16","(2,2)","2","2","588.7","(2,2)"
"695","2","2","558.13","(2,2)","2","2","541.66","(2,2)"
"696","1","2","579.28","(1,2)","1","2","566.1","(1,2)"
"697","1","2","607.99","(1,2)","1","2","594.82","(1,2)"
"698","2","0","596.48","(2,0)","2","2","583.31","(2,2)"
"699","1","2","583.35","(1,2)","1","2","570.18","(1,2)"
"700","2","0","619.17","(2,0)","2","0","609.29","(2,0)"
"701","2","0","543.51","(2,0)","2","0","533.63","(2,0)"
"702","1","2","591.69","(1,2)","1","2","578.52","(1,2)"
"703","2","0","572.61","(2,0)","1","2","560.57","(1,2)"
"704","1","2","567.02","(1,2)","1","2","553.85","(1,2)"
"705","2","0","588.68","(2,0)","1","2","577.64","(1,2)"
"706","2","0","582.64","(2,0)","2","2","570.79","(2,2)"
"707","1","1","595.76","(1,1)","1","1","585.88","(1,1)"
"708","2","0","629.16","(2,0)","2","0","619.28","(2,0)"
"709","2","0","612.01","(2,0)","2","1","601.7","(2,1)"
"710","2","0","582.17","(2,0)","2","0","572.29","(2,0)"
"711","1","2","582.86","(1,2)","1","2","569.68","(1,2)"
"712","2","0","609.6","(2,0)","2","2","596.57","(2,2)"
"713","2","0","600.74","(2,0)","2","0","590.86","(2,0)"
"714","2","0","588.01","(2,0)","2","2","577.67","(2,2)"
"715","1","2","581.16","(1,2)","1","2","567.98","(1,2)"
"716","2","2","591.83","(2,2)","2","2","575.37","(2,2)"
"717","2","0","568.72","(2,0)","2","0","558.84","(2,0)"
"718","2","0","545.03","(2,0)","2","1","534.95","(2,1)"
